AccessionID,AccessionName,HasSeed,Project,PopulationName,NumberOfMaternalLines,DateCollected,Latitude,Longitude,Altitude,StorageLocation,Source,ExternalID,Notes,FatherAccessionID,MotherAccessionID,SeedRemaining,SeedlingLocation
A20001,LT94,?,E.marginata,T4,1,2014,-34.0276,116.18829,?,?,JB/RM,none,,unknown,unknown,?,?
A20002,S2T6,?,E.marginata,S2,1,2014,-32.37706,116.31184,?,?,JB/RM,none,,unknown,unknown,?,?
A20003,S7T9,?,E.marginata,S7,1,2014,-33.2307,116.58033,?,?,JB/RM,none,,unknown,unknown,?,?
A20004,LT55,?,E.marginata,T3,1,2014,-33.34514,116.41485,?,?,JB/RM,none,,unknown,unknown,?,?
A20005,S4T13,?,E.marginata,S4,1,2014,-32.79191,116.22754,?,?,JB/RM,none,,unknown,unknown,?,?
A20006,S8T5,?,E.marginata,S8,1,2014,-33.92085,115.41032,?,?,JB/RM,none,,unknown,unknown,?,?
A20007,LT58,?,E.marginata,T3,1,2014,-33.37698,116.25771,?,?,JB/RM,none,,unknown,unknown,?,?
A20008,S1T11,?,E.marginata,S1,1,2014,-32.34605,116.08923,?,?,JB/RM,none,,unknown,unknown,?,?
A20009,S1T17,?,E.marginata,S1,1,2014,-32.34895,116.09759,?,?,JB/RM,none,,unknown,unknown,?,?
A20010,LT101,?,E.marginata,T5,1,2014,-34.89043,116.70328,?,?,JB/RM,none,,unknown,unknown,?,?
A20011,S2T1,?,E.marginata,S2,1,2014,-32.37083,116.30811,?,?,JB/RM,none,,unknown,unknown,?,?
A20012,S10T1,?,E.marginata,S10,1,2014,-34.75484,116.71686,?,?,JB/RM,none,,unknown,unknown,?,?
A20013,LT89,?,E.marginata,T4,1,2014,-34.02903,115.97629,?,?,JB/RM,none,,unknown,unknown,?,?
A20014,S10T11,?,E.marginata,S10,1,2014,-34.73678,116.70587,?,?,JB/RM,none,,unknown,unknown,?,?
A20015,S6T13,?,E.marginata,S6,1,2014,-33.37499,116.1726,?,?,JB/RM,none,,unknown,unknown,?,?
A20016,LT121,?,E.marginata,T5,1,2014,-33.5354,115.97142,?,?,JB/RM,none,,unknown,unknown,?,?
A20017,M1,?,E.marginata,o,1,2014,-32.80471,116.22239,?,?,JB/RM,none,,unknown,unknown,?,?
A20018,LT119,?,E.marginata,T5,1,2014,-33.74561,115.78802,?,?,JB/RM,none,,unknown,unknown,?,?
A20019,LT108,?,E.marginata,T5,1,2014,-34.61856,116.69284,?,?,JB/RM,none,,unknown,unknown,?,?
A20020,S7T6,?,E.marginata,S7,1,2014,-33.22943,116.58543,?,?,JB/RM,none,,unknown,unknown,?,?
A20021,S4T5,?,E.marginata,S4,1,2014,-32.80383,116.22259,?,?,JB/RM,none,,unknown,unknown,?,?
A20022,S9T14,?,E.marginata,S9,1,2014,-34.07362,116.59111,?,?,JB/RM,none,,unknown,unknown,?,?
A20023,LT40,?,E.marginata,T2,1,2014,-32.64188,115.86926,?,?,JB/RM,none,,unknown,unknown,?,?
A20024,LT42,?,E.marginata,T2,1,2014,-32.72715,115.81561,?,?,JB/RM,none,,unknown,unknown,?,?
A20025,S8T10,?,E.marginata,S8,1,2014,-33.92222,115.39954,?,?,JB/RM,none,,unknown,unknown,?,?
A20026,S6T14,?,E.marginata,S6,1,2014,-33.37445,116.1708,?,?,JB/RM,none,,unknown,unknown,?,?
A20027,LT103,?,E.marginata,T5,1,2014,-34.83796,116.72027,?,?,JB/RM,none,,unknown,unknown,?,?
A20028,S2T8,?,E.marginata,S2,1,2014,-32.37963,116.3128,?,?,JB/RM,none,,unknown,unknown,?,?
A20029,S8T12,?,E.marginata,S8,1,2014,-33.92276,115.39579,?,?,JB/RM,none,,unknown,unknown,?,?
A20030,S10T2,?,E.marginata,S10,1,2014,-34.7536,116.71717,?,?,JB/RM,none,,unknown,unknown,?,?
A20031,LT6,?,E.marginata,T1,1,2014,-32.36715,116.28143,?,?,JB/RM,none,,unknown,unknown,?,?
A20032,S6T5,?,E.marginata,S6,1,2014,-33.36992,116.17664,?,?,JB/RM,none,,unknown,unknown,?,?
A20033,S1T12,?,E.marginata,S1,1,2014,-32.34712,116.09017,?,?,JB/RM,none,,unknown,unknown,?,?
A20034,S10T4,?,E.marginata,S10,1,2014,-34.74957,116.71388,?,?,JB/RM,none,,unknown,unknown,?,?
A20035,S8T6,?,E.marginata,S8,1,2014,-33.92136,115.40698,?,?,JB/RM,none,,unknown,unknown,?,?
A20036,S10T12,?,E.marginata,S10,1,2014,-34.73595,116.70486,?,?,JB/RM,none,,unknown,unknown,?,?
A20037,S7T4,?,E.marginata,S7,1,2014,-33.22632,116.58621,?,?,JB/RM,none,,unknown,unknown,?,?
A20038,LT60,?,E.marginata,T3,1,2014,-33.33883,116.10004,?,?,JB/RM,none,,unknown,unknown,?,?
A20039,S6T3,?,E.marginata,S6,1,2014,-33.36829,116.17882,?,?,JB/RM,none,,unknown,unknown,?,?
A20040,S1T16,?,E.marginata,S1,1,2014,-32.349,116.09586,?,?,JB/RM,none,,unknown,unknown,?,?
A20041,LT124,?,E.marginata,T5,1,2014,-32.95705,115.9144,?,?,JB/RM,none,,unknown,unknown,?,?
A20042,S3T1,?,E.marginata,S3,1,2014,-32.45036,116.52356,?,?,JB/RM,none,,unknown,unknown,?,?
A20043,LT54,?,E.marginata,T3,1,2014,-33.33131,116.4475,?,?,JB/RM,none,,unknown,unknown,?,?
A20044,LT15,?,E.marginata,T2,1,2014,-32.83403,116.4694,?,?,JB/RM,none,,unknown,unknown,?,?
A20045,S10T7,?,E.marginata,S10,1,2014,-34.74298,116.70821,?,?,JB/RM,none,,unknown,unknown,?,?
A20046,LT43,?,E.marginata,T2,1,2014,-32.74938,115.78262,?,?,JB/RM,none,,unknown,unknown,?,?
A20047,S7T14,?,E.marginata,S7,1,2014,-33.23212,116.57256,?,?,JB/RM,none,,unknown,unknown,?,?
A20048,LT49,?,E.marginata,T2,1,2014,-32.88489,115.71147,?,?,JB/RM,none,,unknown,unknown,?,?
A20049,S7T15,?,E.marginata,S7,1,2014,-33.23261,116.57138,?,?,JB/RM,none,,unknown,unknown,?,?
A20050,S3T8,?,E.marginata,S3,1,2014,-32.45103,116.53365,?,?,JB/RM,none,,unknown,unknown,?,?
A20051,S6T1,?,E.marginata,S6,1,2014,-33.36591,116.18001,?,?,JB/RM,none,,unknown,unknown,?,?
A20052,LT88,?,E.marginata,T4,1,2014,-34.00578,115.90611,?,?,JB/RM,none,,unknown,unknown,?,?
A20053,S8T14,?,E.marginata,S8,1,2014,-33.92297,115.39101,?,?,JB/RM,none,,unknown,unknown,?,?
A20054,S2T2,?,E.marginata,S2,1,2014,-32.37199,116.30869,?,?,JB/RM,none,,unknown,unknown,?,?
