PlantID,PlantName,AccessionID,AccessionName,ExperimentID,ExperimentName,ExperimentCondition,GrowthLocation,TrayPosition,SampleID,SampleName,SampleType,PlateName,PlateCoordinate,NameInWell,TubeBarcode,Notes,actual_population,latitude,longitude,xSampleName,population,WEpopulationWE
blank1,blank1,blank1,blank1,blank1,blank1,blank1,blank1,blank1,blank1,blank1,blank,Emarginata_Plate3_2014,H12,blank,none,,,,,162,,
blank2,blank2,blank2,blank2,blank2,blank2,blank2,blank2,blank2,blank2,blank2,blank,Emarginata_Plate5_2014,H12,blank,none,,,,,blank2_,,
P30001,Bragg_115,?,?,none,none,?,?,none,S40001,Bragg_115,?,Emarginata_Plate1,A1,2415,none,,,,,1,,
P30002,Bragg_176,?,?,none,none,?,?,none,S40002,Bragg_176,?,Emarginata_Plate1,B1,2476,none,,,,,2,,
P30003,Bragg_127,?,?,none,none,?,?,none,S40003,Bragg_127,?,Emarginata_Plate1,C1,2427,none,,,,,3,,
P30004,Bragg_132,?,?,none,none,?,?,none,S40004,Bragg_132,?,Emarginata_Plate1,D1,2432,none,,,,,4,,
P30005,Bragg_131,?,?,none,none,?,?,none,S40005,Bragg_131,?,Emarginata_Plate1,F1,2431,none,,,,,5,,
P30006,Bragg_149,?,?,none,none,?,?,none,S40006,Bragg_149,?,Emarginata_Plate1,H1,2449,none,,,,,6,,
P30007,Bragg_114,?,?,none,none,?,?,none,S40007,Bragg_114,?,Emarginata_Plate1,A2,2414,none,,,,,7,,
P30008,Bragg_150,?,?,none,none,?,?,none,S40008,Bragg_150,?,Emarginata_Plate1,B2,2450,none,,,,,8,,
P30009,Bragg_153,?,?,none,none,?,?,none,S40009,Bragg_153,?,Emarginata_Plate1,C2,2453,none,,,,,9,,
P30010,Bragg_116,?,?,none,none,?,?,none,S40010,Bragg_116,?,Emarginata_Plate1,D2,2416,none,,,,,10,,
P30011,Bragg_119,?,?,none,none,?,?,none,S40011,Bragg_119,?,Emarginata_Plate1,E2,2419,none,,,,,11,,
P30012,Bragg_117,?,?,none,none,?,?,none,S40012,Bragg_117,?,Emarginata_Plate1,F2,2417,none,,,,,12,,
P30013,Bragg_118,?,?,none,none,?,?,none,S40013,Bragg_118,?,Emarginata_Plate1,G2,2418,none,,,,,13,,
P30014,Bragg_121,?,?,none,none,?,?,none,S40014,Bragg_121,?,Emarginata_Plate1,H2,2421,none,,,,,14,,
P30015,Bragg_190,?,?,none,none,?,?,none,S40015,Bragg_190,?,Emarginata_Plate1,A3,2496,none,,,,,15,,
P30016,Bragg_120,?,?,none,none,?,?,none,S40016,Bragg_120,?,Emarginata_Plate1,B3,2420,none,,,,,16,,
P30017,Bragg_198,?,?,none,none,?,?,none,S40017,Bragg_198,?,Emarginata_Plate1,C3,2498,none,,,,,17,,
P30018,Bragg_186,?,?,none,none,?,?,none,S40018,Bragg_186,?,Emarginata_Plate1,D3,2486,none,,,,,18,,
P30019,Bragg_189,?,?,none,none,?,?,none,S40019,Bragg_189,?,Emarginata_Plate1,E3,2489,none,,,,,19,,
P30020,Bragg_129,?,?,none,none,?,?,none,S40020,Bragg_129,?,Emarginata_Plate1,F3,2429,none,,,,,20,,
P30021,Bragg_128,?,?,none,none,?,?,none,S40021,Bragg_128,?,Emarginata_Plate1,G3,2428,none,,,,,21,,
P30022,Bragg_135,?,?,none,none,?,?,none,S40022,Bragg_135,?,Emarginata_Plate1,H3,2435,none,,,,,22,,
P30023,Bragg_136,?,?,none,none,?,?,none,S40023,Bragg_136,?,Emarginata_Plate1,A4,2436,none,,,,,23,,
P30024,Bragg_137,?,?,none,none,?,?,none,S40024,Bragg_137,?,Emarginata_Plate1,B4,2437,none,,,,,24,,
P30025,Bragg_138,?,?,none,none,?,?,none,S40025,Bragg_138,?,Emarginata_Plate1,C4,2438,none,,,,,25,,
P30026,Bragg_113,?,?,none,none,?,?,none,S40026,Bragg_113,?,Emarginata_Plate1,D4,2413,none,,,,,26,,
P30027,Bragg_109,?,?,none,none,?,?,none,S40027,Bragg_109,?,Emarginata_Plate1,E4,2409,none,,,,,27,,
P30028,Bragg_112,?,?,none,none,?,?,none,S40028,Bragg_112,?,Emarginata_Plate1,F4,2412,none,,,,,28,,
P30029,Bragg_108,?,?,none,none,?,?,none,S40029,Bragg_108,?,Emarginata_Plate1,G4,2408,none,,,,,29,,
P30030,Bragg_107,?,?,none,none,?,?,none,S40030,Bragg_107,?,Emarginata_Plate1,H4,2407,none,,,,,30,,
P30031,Bragg_106,?,?,none,none,?,?,none,S40031,Bragg_106,?,Emarginata_Plate1,A5,2406,none,,,,,31,,
P30032,Bragg_105,?,?,none,none,?,?,none,S40032,Bragg_105,?,Emarginata_Plate1,B5,2405,none,,,,,32,,
P30033,Bragg_103,?,?,none,none,?,?,none,S40033,Bragg_103,?,Emarginata_Plate1,C5,2403,none,,,,,33,,
P30034,Bragg_102,?,?,none,none,?,?,none,S40034,Bragg_102,?,Emarginata_Plate1,D5,2402,none,,,,,34,,
P30035,Bragg_197,?,?,none,none,?,?,none,S40035,Bragg_197,?,Emarginata_Plate1,E5,2497,none,,,,,35,,
P30036,Bragg_188,?,?,none,none,?,?,none,S40036,Bragg_188,?,Emarginata_Plate1,F5,2488,none,,,,,36,,
P30037,Bragg_178,?,?,none,none,?,?,none,S40037,Bragg_178,?,Emarginata_Plate1,G5,2478,none,,,,,37,,
P30038,Bragg_148,?,?,none,none,?,?,none,S40038,Bragg_148,?,Emarginata_Plate1,H5,2448,none,,,,,38,,
P30039,Bragg_134,?,?,none,none,?,?,none,S40039,Bragg_134,?,Emarginata_Plate1,A6,2434,none,,,,,39,,
P30040,Bragg_179,?,?,none,none,?,?,none,S40040,Bragg_179,?,Emarginata_Plate1,B6,2479,none,,,,,40,,
P30041,Bragg_124,?,?,none,none,?,?,none,S40041,Bragg_124,?,Emarginata_Plate1,C6,2424,none,,,,,41,,
P30042,Bragg_141,?,?,none,none,?,?,none,S40042,Bragg_141,?,Emarginata_Plate1,D6,2441,none,,,,,42,,
P30043,Bragg_145,?,?,none,none,?,?,none,S40043,Bragg_145,?,Emarginata_Plate1,E6,2445,none,,,,,43,,
P30044,Bragg_144,?,?,none,none,?,?,none,S40044,Bragg_144,?,Emarginata_Plate1,F6,2444,none,,,,,44,,
P30045,Bragg_140,?,?,none,none,?,?,none,S40045,Bragg_140,?,Emarginata_Plate1,G6,2440,none,,,,,45,,
P30046,Bragg_142,?,?,none,none,?,?,none,S40046,Bragg_142,?,Emarginata_Plate1,H6,2442,none,,,,,46,,
P30047,Bragg_143,?,?,none,none,?,?,none,S40047,Bragg_143,?,Emarginata_Plate1,A7,2443,none,,,,,47,,
P30048,Bragg_190,?,?,none,none,?,?,none,S40048,Bragg_190,?,Emarginata_Plate1,B7,2496,none,,,,,48,,
P30049,Bragg_191,?,?,none,none,?,?,none,S40049,Bragg_191,?,Emarginata_Plate1,C7,2491,none,,,,,49,,
P30050,Bragg_126,?,?,none,none,?,?,none,S40050,Bragg_126,?,Emarginata_Plate1,D7,2426,none,,,,,50,,
P30051,Bragg_110,?,?,none,none,?,?,none,S40051,Bragg_110,?,Emarginata_Plate1,E7,2410,none,,,,,51,,
P30052,Bragg_104,?,?,none,none,?,?,none,S40052,Bragg_104,?,Emarginata_Plate1,F7,2404,none,,,,,52,,
P30053,Bragg_111,?,?,none,none,?,?,none,S40053,Bragg_111,?,Emarginata_Plate1,G7,2411,none,,,,,53,,
P30054,Bragg_187,?,?,none,none,?,?,none,S40054,Bragg_187,?,Emarginata_Plate1,H7,2487,none,,,,,54,,
P30055,Bragg_195,?,?,none,none,?,?,none,S40055,Bragg_195,?,Emarginata_Plate1,A8,2495,none,,,,,55,,
P30056,Bragg_180,?,?,none,none,?,?,none,S40056,Bragg_180,?,Emarginata_Plate1,B8,2480,none,,,,,56,,
P30057,Bragg_338,?,?,none,none,?,?,none,S40057,Bragg_338,?,Emarginata_Plate1,C8,2638,none,,,,,57,,
P30058,Bragg_309,?,?,none,none,?,?,none,S40058,Bragg_309,?,Emarginata_Plate1,D8,2609,none,,,,,58,,
P30059,Bragg_365,?,?,none,none,?,?,none,S40059,Bragg_365,?,Emarginata_Plate1,E8,2665,none,,,,,59,,
P30060,Bragg_320,?,?,none,none,?,?,none,S40060,Bragg_320,?,Emarginata_Plate1,F8,2620,none,,,,,60,,
P30061,Bragg_362,?,?,none,none,?,?,none,S40061,Bragg_362,?,Emarginata_Plate1,G8,2662,none,,,,,61,,
P30062,Bragg_183,?,?,none,none,?,?,none,S40062,Bragg_183,?,Emarginata_Plate1,H8,2483,none,,,,,62,,
P30063,Bragg_139,?,?,none,none,?,?,none,S40063,Bragg_139,?,Emarginata_Plate1,A9,2439,none,,,,,63,,
P30064,Bragg_181,?,?,none,none,?,?,none,S40064,Bragg_181,?,Emarginata_Plate1,B9,2481,none,,,,,64,,
P30065,Bragg_368,?,?,none,none,?,?,none,S40065,Bragg_368,?,Emarginata_Plate1,C9,2668,none,,,,,65,,
P30066,Bragg_317,?,?,none,none,?,?,none,S40066,Bragg_317,?,Emarginata_Plate1,D9,2617,none,,,,,66,,
P30067,Bragg_312,?,?,none,none,?,?,none,S40067,Bragg_312,?,Emarginata_Plate1,E9,2612,none,,,,,67,,
