AccessionID,AccessionName,HasSeed,Project,PopulationName,NumberOfMaternalLines,DateCollected,Latitude,Longitude,Altitude,StorageLocation,Source,ExternalID,Notes,FatherAccessionID,MotherAccessionID,SeedRemaining
A25001,LB-U-1,?,E.melliodora,LB-U,1,?,-36.632668,144.35019,178,?,Linda,U,,unkown,unkown,
A25002,LB-U-2,?,E.melliodora,LB-U,1,?,-36.632668,144.35019,178,?,Linda,U,,unkown,unkown,
A25003,LB-U-3,?,E.melliodora,LB-U,1,?,-36.632668,144.35019,178,?,Linda,U,,unkown,unkown,
A25004,LB-U-4,?,E.melliodora,LB-U,1,?,-36.632668,144.35019,178,?,Linda,U,,unkown,unkown,
A25005,LB-U-5,?,E.melliodora,LB-U,1,?,-36.632668,144.35019,178,?,Linda,U,,unkown,unkown,
A25006,LB-U-6,?,E.melliodora,LB-U,1,?,-36.632668,144.35019,178,?,Linda,U,,unkown,unkown,
A25007,LB-U-7,?,E.melliodora,LB-U,1,?,-36.632668,144.35019,178,?,Linda,U,,unkown,unkown,
A25008,LB-U-8,?,E.melliodora,LB-U,1,?,-36.632668,144.35019,178,?,Linda,U,,unkown,unkown,
A25009,LB-U-9,?,E.melliodora,LB-U,1,?,-36.632668,144.35019,178,?,Linda,U,,unkown,unkown,
A25010,LB-U-10,?,E.melliodora,LB-U,1,?,-36.632668,144.35019,178,?,Linda,U,,unkown,unkown,
A25011,LB-P-1,?,E.melliodora,LB-P,1,?,-35.819633,145.31187,101,?,Linda,P,,unkown,unkown,
A25012,LB-P-2,?,E.melliodora,LB-P,1,?,-35.819633,145.31187,101,?,Linda,P,,unkown,unkown,
A25013,LB-P-3,?,E.melliodora,LB-P,1,?,-35.819633,145.31187,101,?,Linda,P,,unkown,unkown,
A25014,LB-P-4,?,E.melliodora,LB-P,1,?,-35.819633,145.31187,101,?,Linda,P,,unkown,unkown,
A25015,LB-P-5,?,E.melliodora,LB-P,1,?,-35.819633,145.31187,101,?,Linda,P,,unkown,unkown,
A25016,LB-P-6,?,E.melliodora,LB-P,1,?,-35.819633,145.31187,101,?,Linda,P,,unkown,unkown,
A25017,LB-P-7,?,E.melliodora,LB-P,1,?,-35.819633,145.31187,101,?,Linda,P,,unkown,unkown,
A25018,LB-P-8,?,E.melliodora,LB-P,1,?,-35.819633,145.31187,101,?,Linda,P,,unkown,unkown,
A25019,LB-P-9,?,E.melliodora,LB-P,1,?,-35.819633,145.31187,101,?,Linda,P,,unkown,unkown,
A25020,LB-P-10,?,E.melliodora,LB-P,1,?,-35.819633,145.31187,101,?,Linda,P,,unkown,unkown,
A25021,LB-G-1,?,E.melliodora,LB-G,1,?,-36.86476,148.85016,638,?,Linda,G ,,unkown,unkown,
A25022,LB-G-2,?,E.melliodora,LB-G,1,?,-36.86476,148.85016,638,?,Linda,G ,,unkown,unkown,
A25023,LB-G-3,?,E.melliodora,LB-G,1,?,-36.86476,148.85016,638,?,Linda,G ,,unkown,unkown,
A25024,LB-G-4,?,E.melliodora,LB-G,1,?,-36.86476,148.85016,638,?,Linda,G ,,unkown,unkown,
A25025,LB-G-5,?,E.melliodora,LB-G,1,?,-36.86476,148.85016,638,?,Linda,G ,,unkown,unkown,
A25026,LB-G-6,?,E.melliodora,LB-G,1,?,-36.86476,148.85016,638,?,Linda,G ,,unkown,unkown,
A25027,LB-G-7,?,E.melliodora,LB-G,1,?,-36.86476,148.85016,638,?,Linda,G ,,unkown,unkown,
A25028,LB-G-8,?,E.melliodora,LB-G,1,?,-36.86476,148.85016,638,?,Linda,G ,,unkown,unkown,
A25029,LB-G-9,?,E.melliodora,LB-G,1,?,-36.86476,148.85016,638,?,Linda,G ,,unkown,unkown,
A25030,LB-G-10,?,E.melliodora,LB-G,1,?,-36.86476,148.85016,638,?,Linda,G ,,unkown,unkown,
A25031,LB-W1-1,?,E.melliodora,LB-W1,1,?,-36.42797,144.41092,114,?,Linda,W1,,unkown,unkown,
A25032,LB-W1-2,?,E.melliodora,LB-W1,1,?,-36.42797,144.41092,114,?,Linda,W1,,unkown,unkown,
A25033,LB-W1-3,?,E.melliodora,LB-W1,1,?,-36.42797,144.41092,114,?,Linda,W1,,unkown,unkown,
A25034,LB-W1-4,?,E.melliodora,LB-W1,1,?,-36.42797,144.41092,114,?,Linda,W1,,unkown,unkown,
A25035,LB-W1-5,?,E.melliodora,LB-W1,1,?,-36.42797,144.41092,114,?,Linda,W1,,unkown,unkown,
A25036,LB-W1-6,?,E.melliodora,LB-W1,1,?,-36.42797,144.41092,114,?,Linda,W1,,unkown,unkown,
A25037,LB-W1-7,?,E.melliodora,LB-W1,1,?,-36.42797,144.41092,114,?,Linda,W1,,unkown,unkown,
A25038,LB-W1-8,?,E.melliodora,LB-W1,1,?,-36.42797,144.41092,114,?,Linda,W1,,unkown,unkown,
