PlantID,PlantName,AccessionID,AccessionName,ExperimentID,ExperimentName,ExperimentCondition,GrowthLocation,TrayPosition,SampleID,SampleName,SampleType,PlateName,PlateCoordinate,NameInWell,TubeBarcode,Notes
blank1,blank1,blank1,blank1,blank1,blank1,blank1,blank1,blank1,blank1,empty,control,Emel003A,B7,empty,none,
P35001,LB-U-1,A25001,LB-U-1,none,none,nature,wild,none,S45001,U-1,leaf,Emelliodora_LB_Block1,A1,U1,none,
P35002,LB-U-2,A25002,LB-U-2,none,none,nature,wild,none,S45002,U-2,leaf,Emelliodora_LB_Block1,B1,U2,none,
P35003,LB-U-3,A25003,LB-U-3,none,none,nature,wild,none,S45003,U-3,leaf,Emelliodora_LB_Block1,C1,U3,none,
P35004,LB-U-4,A25004,LB-U-4,none,none,nature,wild,none,S45004,U-4,leaf,Emelliodora_LB_Block1,D1,U4,none,
P35005,LB-U-5,A25005,LB-U-5,none,none,nature,wild,none,S45005,U-5,leaf,Emelliodora_LB_Block1,E1,U5,none,
P35006,LB-U-6,A25006,LB-U-6,none,none,nature,wild,none,S45006,U-6,leaf,Emelliodora_LB_Block1,F1,U6,none,
P35007,LB-U-7,A25007,LB-U-7,none,none,nature,wild,none,S45007,U-7,leaf,Emelliodora_LB_Block1,G1,U7,none,
P35008,LB-U-8,A25008,LB-U-8,none,none,nature,wild,none,S45008,U-8,leaf,Emelliodora_LB_Block1,H1,U8,none,failed—too few reads
P35009,LB-U-9,A25009,LB-U-9,none,none,nature,wild,none,S45009,U-9,leaf,Emelliodora_LB_Block1,A2,U9,none,
P35010,LB-U-10,A25010,LB-U-10,none,none,nature,wild,none,S45010,U-10,leaf,Emelliodora_LB_Block1,B2,U10,none,
P35011,LB-P-1,A25011,LB-P-1,none,none,nature,wild,none,S45011,P-1,leaf,Emelliodora_LB_Block1,C2,P1,none,
P35012,LB-P-2,A25012,LB-P-2,none,none,nature,wild,none,S45012,P-2,leaf,Emelliodora_LB_Block1,D2,P2,none,
P35013,LB-P-3,A25013,LB-P-3,none,none,nature,wild,none,S45013,P-3,leaf,Emelliodora_LB_Block1,E2,P3,none,
P35014,LB-P-4,A25014,LB-P-4,none,none,nature,wild,none,S45014,P-4,leaf,Emelliodora_LB_Block1,F2,P4,none,
P35015,LB-P-5,A25015,LB-P-5,none,none,nature,wild,none,S45015,P-5,leaf,Emelliodora_LB_Block1,G2,P5,none,
P35016,LB-P-6,A25016,LB-P-6,none,none,nature,wild,none,S45016,P-6,leaf,Emelliodora_LB_Block1,H2,P6,none,
P35017,LB-P-7,A25017,LB-P-7,none,none,nature,wild,none,S45017,P-7,leaf,Emelliodora_LB_Block1,A3,P7,none,
P35018,LB-P-8,A25018,LB-P-8,none,none,nature,wild,none,S45018,P-8,leaf,Emelliodora_LB_Block1,B3,P8,none,
P35019,LB-P-9,A25019,LB-P-9,none,none,nature,wild,none,S45019,P-9,leaf,Emelliodora_LB_Block1,C3,P9,none,
P35020,LB-P-10,A25020,LB-P-10,none,none,nature,wild,none,S45020,P-10,leaf,Emelliodora_LB_Block1,D3,P10,none,
P35021,LB-G-1,A25021,LB-G-1,none,none,nature,wild,none,S45021,G-1,leaf,Emelliodora_LB_Block1,E3,G1,none,
P35022,LB-G-2,A25022,LB-G-2,none,none,nature,wild,none,S45022,G-2,leaf,Emelliodora_LB_Block1,F3,G2,none,
P35023,LB-G-3,A25023,LB-G-3,none,none,nature,wild,none,S45023,G-3,leaf,Emelliodora_LB_Block1,G3,G3,none,
P35024,LB-G-4,A25024,LB-G-4,none,none,nature,wild,none,S45024,G-4,leaf,Emelliodora_LB_Block1,H3,G4,none,
P35025,LB-G-5,A25025,LB-G-5,none,none,nature,wild,none,S45025,G-5,leaf,Emelliodora_LB_Block1,A4,G5,none,
P35026,LB-G-6,A25026,LB-G-6,none,none,nature,wild,none,S45026,G-6,leaf,Emelliodora_LB_Block1,B4,G6,none,
P35027,LB-G-7,A25027,LB-G-7,none,none,nature,wild,none,S45027,G-7,leaf,Emelliodora_LB_Block1,C4,G7,none,
P35028,LB-G-8,A25028,LB-G-8,none,none,nature,wild,none,S45028,G-8,leaf,Emelliodora_LB_Block1,D4,G8,none,
P35029,LB-G-9,A25029,LB-G-9,none,none,nature,wild,none,S45029,G-9,leaf,Emelliodora_LB_Block1,E4,G9,none,
P35030,LB-G-10,A25030,LB-G-10,none,none,nature,wild,none,S45030,G-10,leaf,Emelliodora_LB_Block1,F4,G10,none,
P35031,LB-W1-1,A25031,LB-W1-1,none,none,nature,wild,none,S45031,W1-1,leaf,Emelliodora_LB_Block1,G4,W1-1,none,
P35032,LB-W1-2,A25032,LB-W1-2,none,none,nature,wild,none,S45032,W1-2,leaf,Emelliodora_LB_Block1,H4,W1-2,none,
P35033,LB-W1-3,A25033,LB-W1-3,none,none,nature,wild,none,S45033,W1-3,leaf,Emelliodora_LB_Block1,A5,W1-3,none,
P35034,LB-W1-4,A25034,LB-W1-4,none,none,nature,wild,none,S45034,W1-4,leaf,Emelliodora_LB_Block1,B5,W1-4,none,
P35035,LB-W1-5,A25035,LB-W1-5,none,none,nature,wild,none,S45035,W1-5,leaf,Emelliodora_LB_Block1,C5,W1-5,none,
P35036,LB-W1-6,A25036,LB-W1-6,none,none,nature,wild,none,S45036,W1-6,leaf,Emelliodora_LB_Block1,D5,W1-6,none,
P35037,LB-W1-7,A25037,LB-W1-7,none,none,nature,wild,none,S45037,W1-7,leaf,Emelliodora_LB_Block1,E5,W1-7,none,
P35038,LB-W1-8,A25038,LB-W1-8,none,none,nature,wild,none,S45038,W1-8,leaf,Emelliodora_LB_Block1,F5,W1-8,none,
P35039,LB-W1-9,A25039,LB-W1-9,none,none,nature,wild,none,S45039,W1-9,leaf,Emelliodora_LB_Block1,G5,W1-9,none,
P35040,LB-W1-10,A25040,LB-W1-10,none,none,nature,wild,none,S45040,W1-10,leaf,Emelliodora_LB_Block1,H5,W1-10,none,
P35041,LB-H-1,A25041,LB-H-1,none,none,nature,wild,none,S45041,H-1,leaf,Emelliodora_LB_Block1,A6,H1,none,
P35042,LB-H-2,A25042,LB-H-2,none,none,nature,wild,none,S45042,H-2,leaf,Emelliodora_LB_Block1,B6,H2,none,
P35043,LB-H-3,A25043,LB-H-3,none,none,nature,wild,none,S45043,H-3,leaf,Emelliodora_LB_Block1,C6,H3,none,
P35044,LB-H-4,A25044,LB-H-4,none,none,nature,wild,none,S45044,H-4,leaf,Emelliodora_LB_Block1,D6,H4,none,
P35045,LB-H-5,A25045,LB-H-5,none,none,nature,wild,none,S45045,H-5,leaf,Emelliodora_LB_Block1,E6,H5,none,
P35046,LB-H-6,A25046,LB-H-6,none,none,nature,wild,none,S45046,H-6,leaf,Emelliodora_LB_Block1,F6,H6,none,
P35047,LB-H-7,A25047,LB-H-7,none,none,nature,wild,none,S45047,H-7,leaf,Emelliodora_LB_Block1,G6,H7,none,
P35048,LB-H-8,A25048,LB-H-8,none,none,nature,wild,none,S45048,H-8,leaf,Emelliodora_LB_Block1,H6,H8,none,
P35049,LB-H-9,A25049,LB-H-9,none,none,nature,wild,none,S45049,H-9,leaf,Emelliodora_LB_Block1,A7,H9,none,
P35050,LB-H-10,A25050,LB-H-10,none,none,nature,wild,none,S45050,H-10,leaf,Emelliodora_LB_Block1,B7,H10,none,
P35051,LB-M-3,A25051,LB-M-3,none,none,nature,wild,none,S45051,M-3,leaf,Emelliodora_LB_Block1,C7,M3,none,
P35052,LB-M-4,A25052,LB-M-4,none,none,nature,wild,none,S45052,M-4,leaf,Emelliodora_LB_Block1,D7,M4,none,
P35053,LB-M-5,A25053,LB-M-5,none,none,nature,wild,none,S45053,M-5,leaf,Emelliodora_LB_Block1,E7,M5,none,
P35054,LB-D-1,A25054,LB-D-1,none,none,nature,wild,none,S45054,D-1,leaf,Emelliodora_LB_Block1,F7,D1,none,
P35055,LB-D-2,A25055,LB-D-2,none,none,nature,wild,none,S45055,D-2,leaf,Emelliodora_LB_Block1,G7,D2,none,
P35056,LB-D-3,A25056,LB-D-3,none,none,nature,wild,none,S45056,D-3,leaf,Emelliodora_LB_Block1,H7,D3,none,
P35057,LB-D-4,A25057,LB-D-4,none,none,nature,wild,none,S45057,D-4,leaf,Emelliodora_LB_Block1,A8,D4,none,
P35058,LB-D-5,A25058,LB-D-5,none,none,nature,wild,none,S45058,D-5,leaf,Emelliodora_LB_Block1,B8,D5,none,
P35059,LB-D-6,A25059,LB-D-6,none,none,nature,wild,none,S45059,D-6,leaf,Emelliodora_LB_Block1,C8,D6,none,
P35060,LB-D-7,A25060,LB-D-7,none,none,nature,wild,none,S45060,D-7,leaf,Emelliodora_LB_Block1,D8,D7,none,
P35061,LB-D-8,A25061,LB-D-8,none,none,nature,wild,none,S45061,D-8,leaf,Emelliodora_LB_Block1,E8,D8,none,
P35062,LB-D-9,A25062,LB-D-9,none,none,nature,wild,none,S45062,D-9,leaf,Emelliodora_LB_Block1,F8,D9,none,
P35063,LB-D-10,A25063,LB-D-10,none,none,nature,wild,none,S45063,D-10,leaf,Emelliodora_LB_Block1,G8,D10,none,
P35064,LB-V-1,A25064,LB-V-1,none,none,nature,wild,none,S45064,V-1,leaf,Emelliodora_LB_Block1,H8,V1,none,
P35065,LB-V-2,A25065,LB-V-2,none,none,nature,wild,none,S45065,V-2,leaf,Emelliodora_LB_Block1,A9,V2,none,
P35066,LB-V-3,A25066,LB-V-3,none,none,nature,wild,none,S45066,V-3,leaf,Emelliodora_LB_Block1,B9,V3,none,
P35067,LB-V-4,A25067,LB-V-4,none,none,nature,wild,none,S45067,V-4,leaf,Emelliodora_LB_Block1,C9,V4,none,
P35068,LB-V-5,A25068,LB-V-5,none,none,nature,wild,none,S45068,V-5,leaf,Emelliodora_LB_Block1,D9,V5,none,
P35069,LB-V-6,A25069,LB-V-6,none,none,nature,wild,none,S45069,V-6,leaf,Emelliodora_LB_Block1,E9,V6,none,
P35070,LB-V-7,A25070,LB-V-7,none,none,nature,wild,none,S45070,V-7,leaf,Emelliodora_LB_Block1,F9,V7,none,
P35071,LB-V-8,A25071,LB-V-8,none,none,nature,wild,none,S45071,V-8,leaf,Emelliodora_LB_Block1,G9,V8,none,
P35072,LB-V-9,A25072,LB-V-9,none,none,nature,wild,none,S45072,V-9,leaf,Emelliodora_LB_Block1,H9,V9,none,
P35073,LB-V-10,A25073,LB-V-10,none,none,nature,wild,none,S45073,V-10,leaf,Emelliodora_LB_Block1,A10,V10,none,
P35074,LB-A-2,A25074,LB-A-2,none,none,nature,wild,none,S45074,A-2,leaf,Emelliodora_LB_Block1,B10,A2,none,
P35075,LB-A-3,A25075,LB-A-3,none,none,nature,wild,none,S45075,A-3,leaf,Emelliodora_LB_Block1,C10,A3,none,
P35076,LB-A-4,A25076,LB-A-4,none,none,nature,wild,none,S45076,A-4,leaf,Emelliodora_LB_Block1,D10,A4,none,
P35077,LB-A-5,A25077,LB-A-5,none,none,nature,wild,none,S45077,A-5,leaf,Emelliodora_LB_Block1,E10,A5,none,
P35078,LB-A-6,A25078,LB-A-6,none,none,nature,wild,none,S45078,A-6,leaf,Emelliodora_LB_Block1,F10,A6,none,
P35079,LB-A-7,A25079,LB-A-7,none,none,nature,wild,none,S45079,A-7,leaf,Emelliodora_LB_Block1,G10,A7,none,
P35080,LB-A-8,A25080,LB-A-8,none,none,nature,wild,none,S45080,A-8,leaf,Emelliodora_LB_Block1,H10,A8,none,
P35081,LB-A-9,A25081,LB-A-9,none,none,nature,wild,none,S45081,A-9,leaf,Emelliodora_LB_Block1,A11,A9,none,
P35082,LB-A-10,A25082,LB-A-10,none,none,nature,wild,none,S45082,A-10,leaf,Emelliodora_LB_Block1,B11,A10,none,
P35083,LB-A-11,A25083,LB-A-11,none,none,nature,wild,none,S45083,A-11,leaf,Emelliodora_LB_Block1,C11,A11,none,
P35084,LB-1-1,A25084,LB-1-1,none,none,nature,wild,none,S45084,1-1,leaf,Emelliodora_LB_Block1,D11,site1-1,none,
P35085,LB-1-2,A25085,LB-1-2,none,none,nature,wild,none,S45085,1-2,leaf,Emelliodora_LB_Block1,E11,site1-2,none,
P35086,LB-1-3,A25086,LB-1-3,none,none,nature,wild,none,S45086,1-3,leaf,Emelliodora_LB_Block1,F11,site1-3,none,
P35087,LB-1-4,A25087,LB-1-4,none,none,nature,wild,none,S45087,1-4,leaf,Emelliodora_LB_Block1,G11,site1-4,none,
P35088,LB-1-5,A25088,LB-1-5,none,none,nature,wild,none,S45088,1-5,leaf,Emelliodora_LB_Block1,H11,site1-5,none,
P35089,LB-1-6,A25089,LB-1-6,none,none,nature,wild,none,S45089,1-6,leaf,Emelliodora_LB_Block1,A12,site1-6,none,
P35090,LB-1-7,A25090,LB-1-7,none,none,nature,wild,none,S45090,1-7,leaf,Emelliodora_LB_Block1,B12,site1-7,none,
P35091,LB-1-8,A25091,LB-1-8,none,none,nature,wild,none,S45091,1-8,leaf,Emelliodora_LB_Block1,C12,site1-8,none,
P35092,LB-1-9,A25092,LB-1-9,none,none,nature,wild,none,S45092,1-9,leaf,Emelliodora_LB_Block1,D12,site1-9,none,
P35093,LB-1-10,A25093,LB-1-10,none,none,nature,wild,none,S45093,1-10,leaf,Emelliodora_LB_Block1,E12,site1-10,none,
P35094,LB-C-1,A25094,LB-C-1,none,none,nature,wild,none,S45094,C-1,leaf,Emelliodora_LB_Block1,F12,C1,none,
P35095,LB-C-2,A25095,LB-C-2,none,none,nature,wild,none,S45095,C-2,leaf,Emelliodora_LB_Block1,G12,C2,none,
P35096,LB-C-3,A25096,LB-C-3,none,none,nature,wild,none,S45096,C-3,leaf,Emelliodora_LB_Block1,H12,C3,none,failed—no reads
P35097,LB-C-4,A25097,LB-C-4,none,none,nature,wild,none,S45097,C-4,leaf,Emelliodora_LB_Block2,A1,C4,none,
P35098,LB-C-5,A25098,LB-C-5,none,none,nature,wild,none,S45098,C-5,leaf,Emelliodora_LB_Block2,B1,C5,none,
P35099,LB-C-6,A25099,LB-C-6,none,none,nature,wild,none,S45099,C-6,leaf,Emelliodora_LB_Block2,C1,C6,none,
P35100,LB-C-7,A25100,LB-C-7,none,none,nature,wild,none,S45100,C-7,leaf,Emelliodora_LB_Block2,D1,C7,none,
P35101,LB-C-8,A25101,LB-C-8,none,none,nature,wild,none,S45101,C-8,leaf,Emelliodora_LB_Block2,E1,C8,none,
P35102,LB-C-9,A25102,LB-C-9,none,none,nature,wild,none,S45102,C-9,leaf,Emelliodora_LB_Block2,F1,C9,none,
P35103,LB-N2-1,A25103,LB-N2-1,none,none,nature,wild,none,S45103,N2-1,leaf,Emelliodora_LB_Block2,G1,N2-1,none,
P35104,LB-N2-2,A25104,LB-N2-2,none,none,nature,wild,none,S45104,N2-2,leaf,Emelliodora_LB_Block2,H1,N2-2,none,failed—too few reads
P35105,LB-N2-3,A25105,LB-N2-3,none,none,nature,wild,none,S45105,N2-3,leaf,Emelliodora_LB_Block2,A2,N2-3,none,
P35106,LB-N2-4,A25106,LB-N2-4,none,none,nature,wild,none,S45106,N2-4,leaf,Emelliodora_LB_Block2,B2,N2-4,none,
P35107,LB-N2-5,A25107,LB-N2-5,none,none,nature,wild,none,S45107,N2-5,leaf,Emelliodora_LB_Block2,C2,N2-5,none,
P35108,LB-N2-6,A25108,LB-N2-6,none,none,nature,wild,none,S45108,N2-6,leaf,Emelliodora_LB_Block2,D2,N2-6,none,
P35109,LB-N2-7,A25109,LB-N2-7,none,none,nature,wild,none,S45109,N2-7,leaf,Emelliodora_LB_Block2,E2,N2-7,none,
P35110,LB-N2-8,A25110,LB-N2-8,none,none,nature,wild,none,S45110,N2-8,leaf,Emelliodora_LB_Block2,F2,N2-8,none,
P35111,LB-N2-9,A25111,LB-N2-9,none,none,nature,wild,none,S45111,N2-9,leaf,Emelliodora_LB_Block2,G2,N2-9,none,
P35112,LB-N2-10,A25112,LB-N2-10,none,none,nature,wild,none,S45112,N2-10,leaf,Emelliodora_LB_Block2,H2,N2-10,none,
P35113,LB-N1-1,A25113,LB-N1-1,none,none,nature,wild,none,S45113,N1-1,leaf,Emelliodora_LB_Block2,A3,N1-1,none,
P35114,LB-N1-2,A25114,LB-N1-2,none,none,nature,wild,none,S45114,N1-2,leaf,Emelliodora_LB_Block2,B3,N1-2,none,
P35115,LB-N1-3,A25115,LB-N1-3,none,none,nature,wild,none,S45115,N1-3,leaf,Emelliodora_LB_Block2,C3,N1-3,none,
P35116,LB-N1-4,A25116,LB-N1-4,none,none,nature,wild,none,S45116,N1-4,leaf,Emelliodora_LB_Block2,D3,N1-4,none,
P35117,LB-N1-5,A25117,LB-N1-5,none,none,nature,wild,none,S45117,N1-5,leaf,Emelliodora_LB_Block2,E3,N1-5,none,
P35118,LB-N1-6,A25118,LB-N1-6,none,none,nature,wild,none,S45118,N1-6,leaf,Emelliodora_LB_Block2,F3,N1-6,none,
